Movie_id,Title,Rating,TotalVotes,MetaCritic,Budget,Runtime,Release Year,genre,Domestic,Worldwide,TotalRevenue
23417,Philomena,7.6,81855,77.0,12000000.0,98,2013,Biography|Drama|Unknown,37709979,100129872.0,137839851.0
12744,Pride,7.8,40577,79.0,0.0,0,2014,Biography|Comedy|Drama,1446634,7523634.0,8970268.0
37979,Prisoners,8.1,441037,74.0,46000000.0,153,2013,Crime|Drama|Mystery,61002302,122126687.0,183128989.0
41592,Rise of the Planet of the Apes,7.6,434037,68.0,90000000.0,0,2011,Action|Drama|Sci-Fi,176760185,481801049.0,658561234.0
44253,Rogue One,7.9,349210,65.0,200000000.0,133,2016,Action|Adventure|Sci-Fi,532177324,1056057273.0,1588234597.0
11928,Rush,8.1,345486,75.0,38000000.0,123,2013,Action|Biography|Drama,26947624,90247624.0,117195248.0
26438,Scott Pilgrim vs. the World,7.5,297633,69.0,60000000.0,112,2010,Action|Comedy|Romance,31524275,47664559.0,79188834.0
30154,Short Term 12,8.0,63459,82.0,1000000.0,0,2013,Drama|Unknown,1013100,1013100.0,2026200.0
36011,Shutter Island,8.1,871391,63.0,80000000.0,138,2010,Mystery|Thriller|Unknown,128012934,294804195.0,422817129.0
13627,Sicario,7.6,250849,82.0,30000000.0,121,2015,Action|Crime|Drama,46889293,84872444.0,131761737.0
17294,Silver Linings Playbook,7.8,570344,81.0,21000000.0,122,2012,Comedy|Drama|Romance,132092958,236412453.0,368505411.0
41048,Sing Street,8.0,56066,79.0,4000000.0,0,2016,Comedy|Drama|Music,3237118,13624522.0,16861640.0
47323,Skyfall,7.8,552367,81.0,200000000.0,143,2012,Action|Adventure|Thriller,304360277,1108561013.0,1412921290.0
28910,Spotlight,8.1,279211,93.0,20000000.0,128,2015,Crime|Drama|History,45055776,88346473.0,133402249.0
28919,Star Trek Into Darkness,7.8,421473,72.0,190000000.0,132,2013,Action|Adventure|Sci-Fi,228778661,467381469.0,696160130.0
38626,Star Wars: The Force Awakens,8.1,676732,81.0,245000000.0,136,2015,Action|Adventure|Fantasy,936662225,2068223624.0,3004885849.0
14813,Straight Outta Compton,7.9,144011,72.0,28000000.0,147,2015,Biography|Drama|History,161197785,201634991.0,362832776.0
42419,Tangled,7.8,321593,71.0,260000000.0,0,2010,Animation|Adventure|Comedy,200821936,591794936.0,792616872.0
34386,The Artist,7.9,201344,89.0,15000000.0,100,2011,Comedy|Drama|Romance,44671682,133432856.0,178104538.0
10454,The Avengers,8.1,1056773,69.0,220000000.0,143,2012,Action|Sci-Fi|Unknown,623357910,1518812988.0,2142170898.0
21538,The Big Short,7.8,254317,81.0,28000000.0,130,2015,Biography|Comedy|Drama,70259870,133440870.0,203700740.0
39777,The Book Thief,7.6,107880,0.0,19000000.0,131,2013,Drama|War|Unknown,21488481,76586316.0,98074797.0
29419,The Dark Knight Rises,8.4,1240780,78.0,250000000.0,164,2012,Action|Thriller|Unknown,448139099,1084939099.0,1533078198.0
42727,The Fault in Our Stars,7.8,276272,69.0,12000000.0,126,2014,Drama|Romance|Unknown,124872350,307166834.0,432039184.0
44160,The Fighter,7.8,292823,79.0,25000000.0,116,2010,Action|Biography|Drama,93617009,129190869.0,222807878.0
28130,The Girl with the Dragon Tattoo,7.8,352566,71.0,90000000.0,158,2011,Crime|Drama|Mystery,102515793,232617430.0,335133223.0
22401,The Grand Budapest Hotel,8.1,541526,88.0,25000000.0,99,2014,Adventure|Comedy|Drama,59301324,174801324.0,234102648.0
34429,The Help,8.1,347299,62.0,25000000.0,146,2011,Drama|Unknown,169708112,216639112.0,386347224.0
